PIER NO.,CHAINAGE,NORTHING,EASTING,PIER AZIMUTH,FOOTING SKEW,FOUNDATION TYPE
P49-09,49337.371,1516408.615,711129.1475,96.80819702,0,F4B-B
P49-10,49377.371,1516403.873,711168.8655,96.80819702,0,F4B-B
P49-11,49417.371,1516399.131,711208.5834,96.80819702,0,F2B-A
P49-12,49457.371,1516394.391,711248.3015,96.80819702,0,F4B-A
P49-13,49497.371,1516389.648,711288.0193,96.80819702,0,F4B-A
P49-14,49537.371,1516384.906,711327.7372,96.80819702,0,F2B-B
P49-15,49577.371,1516380.164,711367.4552,96.80819702,0,F4B-B
P49-16,49617.371,1516375.422,711407.1731,96.80819702,0,F4B-B
P49-17,49657.371,1516370.68,711446.8911,96.80819702,0,F2B-B
P49-18,49697.371,1516365.938,711486.609,96.80819702,0,F4B-B
P49-19,49737.371,1516361.197,711526.327,96.80819702,0,F4B-B
P49-20,49777.371,1516356.455,711566.0449,96.80819702,0,F2B-B
P49-21,49817.371,1516351.713,711605.7628,96.80819702,0,F4B-B
P49-22,49857.371,1516346.971,711645.4808,96.80819702,0,F4B-B
P49-23,49897.371,1516342.229,711685.1987,96.80819702,0,F2B-B
P49-24,49937.371,1516337.488,711724.9168,96.80819702,0,F4B-B
P49-25,49977.371,1516332.746,711764.6346,96.80819702,0,F4B-B
P50-01,50017.371,1516328.004,711804.3526,96.80819702,0,F2B-B
P50-02,50057.371,1516323.262,711844.0705,96.80819702,0,F4B-B
P50-03,50097.371,1516318.52,711883.7884,96.80819702,0,F4B-B
P50-04,50137.371,1516313.778,711923.5064,96.80819702,0,F2B-B
P50-05,50177.371,1516309.037,711963.2244,96.80819702,0,F4B-B
P50-06,50217.371,1516304.295,712002.9423,96.80819702,0,F4B-B
P50-07,50257.371,1516299.553,712042.6602,96.80819702,0,F2B-B
P50-08,50297.371,1516294.811,712082.3781,96.80819702,0,F4B-B
P50-09,50337.371,1516290.069,712122.0961,96.80819702,0,F4B-B
P50-10,50377.371,1516285.327,712161.814,96.80819702,0,F2B-B
P50-11,50417.371,1516280.585,712201.532,96.80819702,0,F4B-B
P50-12,50457.371,1516275.843,712241.2499,96.80819702,0,F4B-B
P50-13,50497.371,1516271.102,712280.9679,96.80819702,0,F2B-B
P50-14,50537.371,1516266.36,712320.6858,96.80819702,0,F4B-B
P50-15,50577.371,1516261.618,712360.4037,96.80819702,0,F4B-B
P50-16,50617.371,1516256.876,712400.1217,96.80819702,0,F2B-B
P50-17,50652.371,1516252.727,712434.8749,96.80819702,0,F4B-B
P50-18,50687.371,1516248.578,712469.6281,96.80819702,0,F4B-B
P50-19,50722.371,1516244.429,712504.3813,96.80819702,0,F2B-B
P50-20,50757.371,1516240.28,712539.1345,96.80819702,0,F4B-A
P50-21,50792.371,1516236.131,712573.8877,96.80819702,0,F4B-A
P50-22,50827.371,1516231.981,712608.6409,96.80819702,0,F2B-A
P50-23,50867.371,1516227.24,712648.3588,96.80819702,0,F4B-A
P50-24,50907.371,1516222.498,712688.0768,96.80819702,0,F4B-A
P50-25,50947.371,1516217.756,712727.7947,96.80819702,0,F2B-B
P50-26,50987.371,1516213.014,712767.5127,96.80819702,0,F4B-B
P51-01,51027.371,1516208.272,712807.2306,96.80819702,0,F4B-B
P51-02,51067.371,1516203.531,712846.9487,96.80819702,0,F2B-B
P51-03,51107.371,1516198.789,712886.6665,96.80819702,0,F4B-E
P51-04,51147.371,1516194.047,712926.3844,96.80819702,0,F4B-B
P51-05,51187.371,1516189.305,712966.1024,96.80819702,0,F2B-B
P51-06,51227.371,1516184.563,713005.8203,96.80819702,0,F4B-B
P51-07,51267.371,1516179.821,713045.5382,96.80819702,0,F4B-B
P51-08,51307.37,1516175.08,713085.2553,96.80819702,0,F2B-B
P51-09,51347.371,1516170.337,713124.9741,96.80819702,0,F4B-B
P51-10,51387.371,1516165.596,713164.6921,96.80819702,0,F4B-B
P51-11,51427.371,1516160.854,713204.41,96.80819702,0,F2B-B
P51-12,51467.371,1516156.112,713244.128,96.80819702,0,F4B-B
P51-13,51507.371,1516151.37,713283.8459,96.80819702,0,F4B-B
P51-14,51547.371,1516146.629,713323.564,96.80819702,0,F2B-B
P51-15,51587.371,1516141.886,713363.2818,96.80819702,0,F4B-B
P51-16,51627.371,1516137.145,713402.9997,96.80819702,0,F4B-B
P51-17,51667.371,1516132.403,713442.7177,96.80819702,0,F2B-B
P51-18,51707.371,1516127.661,713482.4356,96.80819702,0,F4B-B
P51-19,51747.371,1516122.919,713522.1536,96.80819702,0,F4B-A
P51-20,51787.371,1516118.178,713561.8716,96.80819702,0,F2B-A
P51-21,51827.371,1516113.435,713601.5894,96.80819702,0,F4B-A
P51-22,51867.371,1516108.694,713641.3074,96.80819702,0,F4B-A
P51-23,51907.371,1516103.952,713681.0253,96.80819702,0,F2B-A
P51-24,51947.37,1516099.21,713720.7423,96.80819702,0,F4B-B
P51-25,51987.371,1516094.468,713760.4612,96.80819702,0,F4B-B
P52-01,52027.371,1516089.726,713800.1791,96.80819702,0,F2B-B
P52-02,52067.371,1516084.984,713839.8971,96.80819702,0,F4B-B
P52-03,52107.371,1516080.242,713879.615,96.80819702,0,F4B-B
P52-04,52147.371,1516075.501,713919.333,96.80819702,0,F2B-B
P52-05,52187.371,1516070.759,713959.0509,96.80819702,0,F4B-B
P52-06,52227.371,1516066.017,713998.7689,96.80819702,0,F4B-B
P52-07,52267.371,1516061.275,714038.4868,96.80819702,0,F2B-B
P52-08,52307.371,1516056.534,714078.2049,96.80819702,0,F4B-A
P52-09,52347.371,1516051.791,714117.9227,96.80819702,0,F4B-A
P52-10,52387.371,1516047.05,714157.6406,96.80819702,0,F2B-A
P52-11,52427.371,1516042.308,714197.3586,96.80819702,0,F4B-A
P52-12,52467.371,1516037.566,714237.0765,96.80819702,0,F4B-A
P52-13,52507.371,1516032.824,714276.7945,96.80819702,0,F2B-A
P52-14,52547.371,1516028.083,714316.5125,96.80819702,0,F4B-A
P52-15,52587.371,1516023.34,714356.2303,96.80819702,0,F4B-A
P52-16,52627.37,1516018.599,714395.9473,96.80819702,0,F2B-A
P52-17,52667.37,1516013.857,714435.6652,96.80819702,0,F4B-A
P52-18,52707.371,1516009.115,714475.3842,96.80819702,0,F4B-B
P52-19,52747.371,1516004.373,714515.1021,96.80819702,0,F2B-B
P52-20,52787.371,1515999.632,714554.8202,96.80819702,0,F4B-A
P52-21,52827.371,1515994.889,714594.538,96.80819702,0,F4B-B
P52-22,52867.371,1515990.147,714634.2559,96.80819702,0,F2B-A
P52-23,52907.371,1515985.406,714673.9739,96.80819702,0,F4B-B
P52-24,52947.371,1515980.664,714713.6918,96.80819702,0,F4B-B
P52-25,52987.371,1515975.922,714753.4098,96.80819702,0,F2B-B
P53-01,53027.371,1515971.181,714793.1278,96.80819702,0,F4B-B
P53-02,53067.371,1515966.438,714832.8456,96.80819702,0,F4B-B
P53-03,53107.371,1515961.696,714872.5636,96.80819702,0,F2B-B
P53-04,53147.371,1515956.955,714912.2815,96.80819702,0,F4B-A
P53-05,53187.371,1515952.213,714951.9995,96.80819702,0,F4B-A
P53-06,53227.371,1515947.471,714991.7174,96.80819702,0,F2B-A
P53-07,53266.371,1515942.848,715030.4424,96.80819702,0,F4B-A
P53-08,53305.371,1515938.224,715069.1674,96.80819702,0,F4B-A
P53-09,53344.371,1515933.601,715107.8924,96.80819702,0,F2B-A
P53-10,53382.371,1515929.096,715145.6244,96.80819702,0,F4B-B
P53-11,53420.371,1515924.591,715183.3565,96.80819702,0,F2B-B
P53-12,53455.371,1515920.442,715218.1097,96.80819702,0,F4B-B
P53-13,53490.372,1515916.294,715252.864,96.80819702,0,F4B-B
P53-14,53525.372,1515912.145,715287.6172,96.80819702,0,F2B-B
P53-14A,53555.371,1515908.588,715317.4045,96.80819702,0,F4B-B
P53-15,53585.372,1515905.031,715347.194,96.80819702,0,F2B-B
P53-16,53624.372,1515900.409,715385.9191,96.80819702,0,F4B-B
P53-17,53663.372,1515895.785,715424.644,96.80819702,0,F2B-B
P53-18,53698.372,1515891.636,715459.3972,96.80819702,0,F4B-E
P53-19,53733.371,1515887.487,715494.1494,96.80819702,0,F4B-E
P53-20,53768.371,1515883.337,715528.9026,96.80819702,0,F2B-B
P53-20A,53803.371,1515879.188,715563.6558,96.80819702,0,F4B-E
P53-21,53838.372,1515875.04,715598.4101,96.80819702,0,F4B-E
P53-22,53873.371,1515870.891,715633.1623,96.80819702,0,F2B-B
P53-23,53910.371,1515866.504,715669.9013,96.80819702,0,F4B-E
P53-24,53947.371,1515861.561,715706.5732,96.83132003,0,F2B-B
P53-25,53987.371,1515857.334,715746.3529,96.91086611,0,F4B-E
P54-01,54027.371,1515852.488,715786.0583,97.0025476,0,F2B-B
P54-02,54067.371,1515847.581,715825.7561,97.0942291,0,F4B-E
P54-03,54107.371,1515842.608,715865.4458,97.1859106,0,F4B-E
P54-04,54147.371,1515837.573,715905.1276,97.27759209,0,F2B-B
P54-05,54187.371,1515832.476,715944.8015,97.36112518,0,F4B-E
P54-06,54227.372,1515827.336,715984.4709,97.39068511,0,F4B-E
P54-07,54267.371,1515822.198,716024.1386,97.35910373,0,F2B-B
P54-08,54307.371,1515817.102,716063.8126,97.27456043,0,F4B-E
P54-09,54347.371,1515812.069,716103.4947,97.18287893,0,F4B-E
P54-10,54387.371,1515807.099,716143.1848,97.09119743,0,F2B-B
P54-11,54426.371,1515802.315,716181.8902,97.00180797,0,F4B-E
P54-12,54465.372,1515797.591,716220.604,96.91241622,0,F4B-E
P54-13,54504.371,1515792.921,716259.3224,96.8517944,0,F2B-B
P54-14,54544.371,1515788.154,716299.0374,96.84321594,0,F4B-E
P54-15,54584.371,1515783.387,716338.7523,96.84321594,0,F4B-E
P54-16,54624.371,1515778.622,716378.4674,96.84321594,0,F2B-B
P54-17,54664.371,1515773.856,716418.1825,96.84321594,0,F4B-E
P54-18,54704.371,1515769.089,716457.8975,96.84321594,0,F4B-E
P54-19,54744.371,1515764.323,716497.6125,96.84321594,0,F2B-B
P54-20,54783.371,1515759.676,716536.3347,96.84321594,0,F4B-E
P54-21,54822.371,1515755.029,716575.0569,96.84321594,0,F4B-E
P54-22,54861.372,1515750.382,716613.78,96.84321594,0,F2B-B
P54-23,54901.372,1515745.616,716653.495,96.84321594,0,F4B-E
P54-24,54941.372,1515740.85,716693.2101,96.84321594,0,F4B-E
P54-25,54981.371,1515736.084,716732.9241,96.84321594,0,F2B-B
P55-01,55021.371,1515731.318,716772.6392,96.84321594,0,F4B-E
P55-02,55061.371,1515726.552,716812.3542,96.84321594,0,F4B-E
P55-03,55101.371,1515721.787,716852.0694,96.84321594,0,F2B-B
P55-04,55141.371,1515717.02,716891.7843,96.84321594,0,F4B-E
P55-05,55181.371,1515712.253,716931.4993,96.84321594,0,F4B-E
P55-06,55221.371,1515707.487,716971.2143,96.84321594,0,F2B-B
P55-07,55261.371,1515702.721,717010.9294,96.84321594,0,F4B-E
P55-08,55301.371,1515697.955,717050.6444,96.84321594,0,F4B-E
P55-09,55341.371,1515693.189,717090.3595,96.84321594,0,F2B-B
P55-10,55381.371,1515688.423,717130.0745,96.84321594,0,F4B-E
P55-11,55421.371,1515683.657,717169.7895,96.84321594,0,F4B-E
P55-12,55461.371,1515678.892,717209.5047,96.84321594,0,F2B-B
P55-13,55501.371,1515674.125,717249.2196,96.84321594,0,F4B-E
P55-14,55541.371,1515669.358,717288.9346,96.84321594,0,F4B-E
P55-15,55581.371,1515664.592,717328.6497,96.84321594,0,F2B-B
P55-16,55621.371,1515659.826,717368.3647,96.84320686,0,F4B-B
P55-17,55661.37,1515655.08,717408.0811,96.75934034,0,F4B-E
P55-18,55701.371,1515650.448,717447.813,96.51117912,0,F2B-B
P55-19,55741.371,1515646.046,717487.5699,96.10024417,0,F4B-E
P55-20,55781.371,1515641.959,717527.3605,95.62792079,0,F4B-B
P55-21,55821.371,1515638.201,717567.1834,95.15559741,0,F2B-B
P55-22,55861.371,1515634.77,717607.0359,94.68327403,0,F4B-E
P55-23,55901.371,1515631.669,717646.9154,94.21095065,0,F4B-B
P55-24,55941.371,1515628.896,717686.8191,93.73862727,0,F2B-B
P55-25,55981.371,1515626.453,717726.7442,93.26630389,0,F4B-B
P56-01,56021.371,1515624.338,717766.6882,92.79398051,0,F4B-E
P56-02,56061.371,1515622.553,717806.6482,92.32165713,0,F2B-B
P56-03,56101.371,1515621.097,717846.6216,91.84933376,0,F4B-E
P56-04,56141.371,1515619.971,717886.6056,91.37701038,0,F4B-B
P56-05,56181.371,1515619.175,717926.5976,90.904687,0,F2B-B
P56-06,56221.371,1515618.708,717966.5948,90.43236362,0,F4B-B
P56-07,56261.371,1515618.571,718006.5944,89.96004024,0,F4B-B
P56-08,56301.371,1515618.764,718046.5938,89.48771686,0,F2B-B
P56-09,56336.371,1515619.203,718081.591,89.0744339,0,F4B-B
P56-10,56371.371,1515619.895,718116.5841,88.66115095,0,F4B-B
P56-11,56406.371,1515620.84,718151.5713,88.24786799,0,F2B-B
P56-12,56446.371,1515622.226,718191.5471,87.77554461,0,F4B-E
P56-13,56486.371,1515623.944,718231.5101,87.30322123,0,F4B-E
P56-14,56526.371,1515625.99,718271.4576,86.83089785,0,F2B-B
P56-15,56563.371,1515628.177,718308.3929,86.39399873,0,F4B-E
P56-16,56600.371,1515630.646,718345.3103,85.9570996,0,F4B-E
P56-17,56637.371,1515633.394,718382.208,85.52020047,0,F2B-B
P56-18,56677.371,1515636.684,718422.0724,85.0478771,0,F4B-E
P56-19,56717.371,1515640.3,718461.9085,84.57555372,0,F4B-E
P56-20,56757.371,1515644.245,718501.7133,84.10323034,0,F2B-B
P56-21,56797.371,1515648.52,718541.4841,83.63090696,0,F4B-B
P56-22,56837.371,1515653.12,718581.2186,83.15858358,0,F4B-B
P56-23,56877.371,1515658.048,718620.9137,82.6862602,0,F2B-B
P56-24,56917.371,1515663.304,718660.5668,82.21393682,0,F4B-B
P56-25,56957.371,1515668.886,718700.1753,81.74161344,0,F4B-E
P56-26,56997.371,1515674.795,718739.7364,81.26929006,0,F2B-B
P57-01,57037.37,1515681.029,718779.2465,80.80466173,0,F4B-B
P57-02,57077.371,1515687.547,718818.7127,80.46471956,0,F2B-B
P57-03,57117.37,1515694.243,718858.1473,80.28907666,0,F4B-B
P57-04,57157.371,1515701.005,718897.5726,80.26246643,0,F9B-D
P57-05,57197.37,1515707.77,718936.9953,80.26246643,0,F9B-D
P57-06,57237.371,1515714.536,718976.42,80.26246643,0,F9B-D
P57-07,57272.371,1515720.456,719010.9157,80.26246643,0,F9B-D
P57-08,57307.37,1515726.375,719045.4105,80.26246643,0,F2B-B
P57-08L,57307.366,1515736.035,719043.7487,76.20667,0,F2B-F
P57-08R,57307.365,1515716.714,719047.0634,84.31806,0,F2B-F
P57-09,57344.37,1515732.633,719081.8774,80.26246643,0,F4B-E
P57-10,57381.37,1515738.891,719118.3444,80.26246643,0,F2B-B
P57-11,57418.37,1515745.149,719154.8113,80.26246643,0,F4B-B
P57-12,57455.37,1515751.407,719191.2783,80.26246643,0,F4B-B
P57-13,57492.371,1515757.665,719227.7462,80.26246643,0,F2B-B
P57-14,57527.371,1515763.585,719262.2419,80.26246643,0,F4B-B
P57-15,57562.371,1515769.505,719296.7377,80.26246643,0,F4B-B
P57-16,57597.371,1515775.425,719331.2334,80.26246643,0,F2B-B
P57-17,57632.371,1515781.344,719365.7292,80.26246643,0,F4B-E
P57-18L,57667.372,1515799.091,719398.1963,80.27611,0,F2B-G
P57-18R,57667.37,1515782.336,719401.0696,80.27611,0,F2B-G
P57-19,57702.371,1515793.184,719434.7207,80.26246643,0,F2B-B
P57-20,57737.371,1515799.104,719469.2164,80.26246643,0,F4B-B
P57-21,57772.37,1515805.023,719503.7112,80.26246643,0,F2B-B
P57-22,57811.371,1515811.62,719542.1503,80.26246643,0,F4B-B
P57-23,57850.37,1515818.217,719580.5873,80.26246643,0,F2B-B
P57-24,57890.37,1515824.981,719620.0112,80.26246643,0,F4B-B
P57-25,57930.371,1515831.747,719659.4359,80.26246643,0,F4B-B
P57-26,57970.371,1515838.512,719698.8596,80.26246643,0,F2B-B
P58-01,58010.37,1515845.277,719738.2823,80.26246643,0,F4B-B
P58-02,58050.371,1515852.043,719777.707,80.26246643,0,F4B-B
P58-03,58090.371,1515858.808,719817.1307,80.26246643,0,F2B-B
P58-04,58130.37,1515865.573,719856.5535,80.26246643,0,F4B-A
P58-05,58170.37,1515872.339,719895.9772,80.26246643,0,F4B-A
P58-06,58210.371,1515879.104,719935.4019,80.26246643,0,F2B-A
P58-07,58250.371,1515885.87,719974.8256,80.26246643,0,F4B-A
P58-08,58290.37,1515892.635,720014.2483,80.26246643,0,F4B-A
P58-09,58330.37,1515899.4,720053.672,80.26246643,0,F2B-A
P58-10,58370.371,1515906.166,720093.0967,80.26246643,0,F4B-A
P58-11,58410.371,1515912.931,720132.5205,80.26246643,0,F4B-A
P58-12,58450.37,1515919.697,720171.9432,80.26246643,0,F2B-A
P58-13,58490.371,1515926.462,720211.3679,80.26246643,0,F4B-A
P58-14,58530.371,1515933.228,720250.7916,80.26246643,0,F4B-A
P58-15,58570.37,1515939.993,720290.2143,80.26246643,0,F2B-A
P58-16,58610.37,1515946.758,720329.638,80.26246643,0,F4B-A
P58-17,58650.371,1515953.523,720369.0629,80.26246643,0,F4B-A
P58-18,58690.371,1515960.289,720408.4865,80.26246643,0,F2B-A
P58-19,58726.371,1515966.378,720443.9678,80.26246643,0,F4B-A
P58-20,58762.37,1515972.467,720479.4482,80.26246643,0,F4B-A
P58-21,58798.371,1515978.555,720514.9307,80.26246643,0,F2B-A
P58-22,58838.37,1515985.321,720554.3532,80.26246643,0,F4B-A
P58-23,58878.371,1515992.087,720593.7779,80.26246643,0,F4B-A
P58-24,58918.371,1515998.852,720633.2016,80.26246643,0,F2B-A
P58-25,58958.37,1516005.617,720672.6244,80.26246643,0,F4B-A
P58-26,58998.37,1516012.383,720712.0481,80.26246643,0,F4B-A
P59-01,59038.371,1516019.148,720751.4728,80.26246643,0,F2B-A
P59-02,59078.371,1516025.914,720790.8965,80.26246643,0,F4B-A
P59-03,59118.37,1516032.679,720830.3192,80.26246643,0,F4B-A
P59-04,59158.371,1516039.444,720869.7439,80.26246643,0,F2B-A
P59-05,59198.371,1516046.209,720909.1678,80.26246643,0,F4B-A
P59-06,59238.37,1516052.975,720948.5904,80.26246643,0,F4B-A
P59-07,59278.37,1516059.74,720988.0141,80.26246643,0,F2B-A
P59-08,59318.371,1516066.506,721027.4388,80.26246643,0,F4B-A
P59-09,59358.371,1516073.271,721066.8625,80.26246643,0,F4B-A
P59-10,59398.37,1516080.037,721106.2852,80.26246643,0,F2B-A
P59-11,59438.371,1516086.802,721145.7099,80.26246643,0,F4B-A
P59-12,59478.371,1516093.568,721185.1337,80.26246643,0,F4B-B
P59-13,59518.37,1516100.333,721224.5564,80.26246643,0,F2B-B
P59-14,59558.37,1516107.098,721263.9801,80.26246643,0,F4B-B
P59-15,59598.371,1516113.863,721303.405,80.26246643,0,F4B-B
P59-16,59638.371,1516120.629,721342.8285,80.26246643,0,F2B-B
P59-17,59678.37,1516127.394,721382.2513,80.26246643,0,F4B-B
P59-18,59718.371,1516134.16,721421.676,80.26246643,0,F4B-A
P59-19,59758.371,1516140.925,721461.0997,80.26246643,0,F2B-B
P59-20,59798.37,1516147.691,721500.5224,80.26246643,0,F4B-B
P59-21,59838.37,1516154.456,721539.9461,80.26246643,0,F2B-B
P59-22,59873.371,1516160.376,721574.4429,80.26246643,0,F4B-B
P59-23,59908.37,1516170.6,721608.199,80.26246643,0,F4BR-B
P59-24,59943.371,1516175.296,721642.9056,80.26246643,0,F4BR-B
P59-25,59978.37,1516180.441,721677.5333,80.26246643,0,F4BR-B
P60-01,60018.37,1516187.207,721716.9571,80.26246643,0,F4BR-B
P60-02,60058.371,1516193.972,721756.3818,80.26246643,0,F4BR-B
P60-03,60093.37,1516197.586,721791.2723,80.26246643,0,F4B-B
P60-04,60128.37,1516205.969,721825.3452,80.26246643,0,F4BR-B
P60-05,60163.371,1516211.889,721859.842,80.26246643,0,F4BR-B
P60-06,60198.371,1516217.808,721894.3379,80.26246643,0,F4BR-B
P60-07,60233.37,1516221.264,721929.2553,80.26246643,0,F4BR-B
P60-08,60271.371,1516227.692,721966.7088,80.26246643,0,F4BR-B
P60-09,60309.37,1516234.119,722004.1604,80.26246643,0,F4BR-B
P60-10,60347.371,1516240.545,722041.6141,80.26246643,0,F4BR-B
P60-11,60384.371,1516246.803,722078.081,92.01389,0,F4B-A
P60-12,60421.371,1516253.061,722114.5479,80.26246643,0,F2B-B
P60-13,60451.371,1516258.135,722144.1157,80.26246643,0,F4B-B
P60-14,60482.371,1516263.379,722174.6689,80.26246643,0,F4B-E
